apls,cldice,condition,dice,image_id,iou,mean_off_road_successes,precision,queries,recall,route_success,safe_route_success
0.0,0.0,clean,0.0,10078750_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.0,0.0,blur_medium,0.0,10078750_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.0,0.0,shadow_medium,0.0,10078750_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.0,0.0,noise_medium,0.0,10078750_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.0,0.0,bc_medium,0.0,10078750_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.6688475138213695,0.8937330826905028,clean,0.7909484537629728,10528705_15,0.6541891917054067,0.0072950157322450694,0.7014621420347533,12,0.9066050800368144,0.4166666666666667,0.4166666666666667
0.14793301522487148,0.7334300156048711,blur_medium,0.6362290537986645,10528705_15,0.4665219299258609,nan,0.8163520995837207,12,0.521224163290584,0.0,0.0
0.5456769393991772,0.860776820534745,shadow_medium,0.7612704596148409,10528705_15,0.6145574435708852,0.010827662921555325,0.7004024886371026,12,0.8337247008833725,0.4166666666666667,0.4166666666666667
0.010747188775945474,0.4795270765801948,noise_medium,0.3911730056665987,10528705_15,0.2431417467784823,nan,0.8328102230691626,12,0.2556189198255619,0.0,0.0
0.4750264839021951,0.8600382317766193,bc_medium,0.7625752378348591,10528705_15,0.6162598819346152,0.0018083182640144708,0.7574852332133886,12,0.7677341109075426,0.25,0.25
0.17600047835805094,0.8245368482537443,clean,0.7376217695837695,10828645_15,0.5843112244897959,0.0013831258644536604,0.7005658357547025,4,0.7788167290037402,0.75,0.75
0.0,0.4964028776978417,blur_medium,0.42254652563930917,10828645_15,0.26786623663215076,nan,0.994328922495274,4,0.26827609656579393,0.0,0.0
0.17600047835805094,0.8245368482537443,shadow_medium,0.7376217695837695,10828645_15,0.5843112244897959,0.0013831258644536604,0.7005658357547025,4,0.7788167290037402,0.75,0.75
0.0,0.3853781497843787,noise_medium,0.30366346287783813,10828645_15,0.17901133191000165,nan,0.8404009252120278,4,0.18531111866712002,0.0,0.0
0.17803896734814506,0.7399670366766615,bc_medium,0.6818098887064404,10828645_15,0.5172318339100346,0.0,0.7356299212598425,4,0.6353281196871813,0.25,0.25
0.3320829105436032,0.8970117502527978,clean,0.8063642494203008,10978705_15,0.6755530311727705,0.030501264826571686,0.765971732175033,12,0.8512540163547488,0.75,0.6666666666666666
0.0002749014429685334,0.2138966292284627,blur_medium,0.1689183701096521,10978705_15,0.09225059514128137,nan,0.7607608828191684,12,0.09500677640896009,0.0,0.0
0.32379589898428074,0.8709687202323473,shadow_medium,0.7799936428397809,10978705_15,0.6393357200657169,0.041801817089234715,0.7664116639843618,12,0.7940656930971995,0.4166666666666667,0.3333333333333333
0.005105860476191229,0.24174328003211337,noise_medium,0.18514587415632483,10978705_15,0.10201694534003149,nan,0.8700601099884896,12,0.10359530372017238,0.0,0.0
0.24809633312883486,0.7976273064365037,bc_medium,0.7159743764668529,10978705_15,0.5576013152266894,0.013874831893743,0.8201692732652439,12,0.6352693051515936,0.16666666666666666,0.16666666666666666
0.0,0.009086602121017019,clean,0.009781209781209782,10978945_15,0.004914640455250905,nan,0.8507462686567164,12,0.004918881601656887,0.0,0.0
0.0,0.0,blur_medium,0.0,10978945_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.0,0.009086602121017019,shadow_medium,0.009781209781209782,10978945_15,0.004914640455250905,nan,0.8507462686567164,12,0.004918881601656887,0.0,0.0
0.0,0.0,noise_medium,0.0,10978945_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.0,0.003728251864125932,bc_medium,0.0010350181128169743,10978945_15,0.0005177770107007249,nan,1.0,12,0.0005177770107007249,0.0,0.0
0.6063603673873176,0.8874397997156215,clean,0.7683595027805038,11278750_15,0.6238504697719199,0.026477595906255518,0.6992065042465512,12,0.8526926000294955,0.5833333333333334,0.5833333333333334
0.11874714433195742,0.627291825833799,blur_medium,0.5350627038698019,11278750_15,0.3652461475881815,0.0,0.8417438731905672,12,0.39217688232424647,0.16666666666666666,0.16666666666666666
0.48341606611038207,0.8673938976607076,shadow_medium,0.7516736760793065,11278750_15,0.602145177647524,0.029343191374291495,0.7129758718593221,12,0.7948133274342307,0.5,0.5
0.007909985757358557,0.5057538107918224,noise_medium,0.4084368086854103,11278750_15,0.2566261967569457,nan,0.8735615088586886,12,0.2665259957571839,0.0,0.0
0.3130426855464811,0.7983718258585126,bc_medium,0.6952817087586339,11278750_15,0.5328979546206196,0.015621815405799508,0.7487874959910461,12,0.6489126365585542,0.5,0.5
0.6945604489056433,0.9515839837134235,clean,0.8032335687211991,11428690_15,0.6711698688464268,0.0804933624469942,0.7359342915811088,12,0.8840804244527727,0.3333333333333333,0.25
0.35173739528630205,0.8713994593101101,blur_medium,0.7331113584485653,11428690_15,0.578670716907522,0.026306345104794737,0.8054280355236841,12,0.6727109064628647,0.16666666666666666,0.16666666666666666
0.43430529788237965,0.936581464357145,shadow_medium,0.7931702435047902,11428690_15,0.6572345761578331,0.04276726526208241,0.7430232646055904,12,0.8505760059548023,0.3333333333333333,0.25
0.029869208962196647,0.7602314897887307,noise_medium,0.6315778294623039,11428690_15,0.46153726756278524,0.023076923076923106,0.8170639554853335,12,0.514726884028493,0.08333333333333333,0.08333333333333333
0.5490918988704714,0.9229672422527503,bc_medium,0.782321616916916,11428690_15,0.6424698243686708,0.02719316559567316,0.7751429518169537,12,0.7896344893843531,0.25,0.25
0.7667274380444562,0.9624489976499391,clean,0.8384765162957436,11428735_15,0.7218765079305396,0.02998150089156859,0.7609107783363168,12,0.9336510561040056,0.3333333333333333,0.25
0.22200630372386201,0.7770412686121697,blur_medium,0.6765061769355374,11428735_15,0.5111517448333321,0.025295109612141653,0.8498247076417662,12,0.56190730924476,0.08333333333333333,0.08333333333333333
0.7560207380410633,0.9550843588625837,shadow_medium,0.8317625160651766,11428735_15,0.7119806781611375,0.03125484554352104,0.7639998914474131,12,0.9127153949650667,0.3333333333333333,0.25
0.001965939640659336,0.5744697155030482,noise_medium,0.4653048401031943,11428735_15,0.30319040045352186,nan,0.9138958110834223,12,0.31210588597643013,0.0,0.0
0.47306913154719893,0.9224928935606397,bc_medium,0.8048847118305437,11428735_15,0.6734787177422656,0.034285207704643085,0.8098410692747606,12,0.7999886527581903,0.25,0.16666666666666666
0.37513095586154954,0.6823950427528942,clean,0.5989247848737538,12028705_15,0.42747511226211127,0.06666666666666665,0.7441167955664006,12,0.5011419976602974,0.08333333333333333,0.0
0.04868745179122513,0.5494968524427468,blur_medium,0.46296755753600033,12028705_15,0.301208708902606,nan,0.8054490831865742,12,0.3248426271516907,0.0,0.0
0.23381983008958732,0.6759124022472915,shadow_medium,0.5934742044480307,12028705_15,0.42194334887056295,nan,0.7484418062327751,12,0.4916717731602696,0.0,0.0
0.010696718997096344,0.445184672213993,noise_medium,0.3787725382908597,12028705_15,0.2336331867284976,nan,0.8357733624869285,12,0.2448749373293967,0.0,0.0
0.14416815488121204,0.6060021235529681,bc_medium,0.5333996811618242,12028705_15,0.3636980534576574,nan,0.788288165599891,12,0.40306946688206785,0.0,0.0
0.6936554767603618,0.8756860785828119,clean,0.7938012666061013,12628735_15,0.6581015587477623,0.0035268750508426817,0.680259060342104,12,0.9528400290798749,0.8333333333333334,0.8333333333333334
0.11327108005702564,0.5465535434640881,blur_medium,0.47070900310290925,12628735_15,0.3077955758962624,nan,0.8986281845715304,12,0.3188671492240099,0.0,0.0
0.5204745515851906,0.8206956212715656,shadow_medium,0.742186833499218,12628735_15,0.5900612692455518,0.0,0.6745147701134572,12,0.8249517969466131,0.25,0.25
0.0910754267545742,0.5187561898032583,noise_medium,0.4654070702891555,12628735_15,0.30327721526571205,0.0,0.8529783469542506,12,0.32000505736953566,0.08333333333333333,0.08333333333333333
0.19141773019484812,0.7226562788539472,bc_medium,0.6499730842030319,12628735_15,0.48145194484461823,0.0,0.721194605009634,12,0.5915541928754307,0.08333333333333333,0.08333333333333333
0.32607910818961655,0.7551951173001392,clean,0.6678469375077649,15628885_15,0.5013289811144789,0.014745661224534431,0.770902050767245,8,0.5890958904109589,0.375,0.375
0.019000998449685093,0.6253294065129283,blur_medium,0.5394427150558044,15628885_15,0.36934033373187086,nan,0.8780276816608996,8,0.3893150684931507,0.0,0.0
0.32607910818961655,0.7551951173001392,shadow_medium,0.6678469375077649,15628885_15,0.5013289811144789,0.014745661224534431,0.770902050767245,8,0.5890958904109589,0.375,0.375
0.018764954266559802,0.5460781641363402,noise_medium,0.4719353931455663,15628885_15,0.30884518300378627,nan,0.8846211778882361,8,0.32180821917808217,0.0,0.0
0.12047478580352725,0.639635523308022,bc_medium,0.5644539931841754,15628885_15,0.3931981214842339,nan,0.8711410930711182,8,0.41747945205479453,0.0,0.0
0.06860138050121802,0.7671630549130216,clean,0.677437002085684,15628945_15,0.512215299501047,0.02050595603258581,0.726309615455112,12,0.634726894121416,0.9166666666666666,0.8333333333333334
0.0,0.5365497453434447,blur_medium,0.4363079821050153,15628945_15,0.27902424333684683,0.0,0.823189693469569,12,0.2968124299215121,0.08333333333333333,0.08333333333333333
0.0,0.7240618776662198,shadow_medium,0.6389210981679362,15628945_15,0.46942252745812474,0.027087996669639014,0.7208759359149827,12,0.5736985423674515,0.5833333333333334,0.5
0.0,0.32898163522941315,noise_medium,0.26133318599961325,15628945_15,0.15030665098986304,nan,0.9490369181380417,12,0.15152971327887232,0.0,0.0
0.0,0.5482164482834275,bc_medium,0.4661591503343592,15628945_15,0.3039162442674391,nan,0.839276787202133,12,0.32269742111164507,0.0,0.0
0.1366062278965183,0.8401950413362305,clean,0.717990302348288,15778945_15,0.5600506015386999,0.03945772337551349,0.827945498263425,12,0.6338163968912522,0.25,0.16666666666666666
0.00632094462956763,0.3747111125142784,blur_medium,0.30448539890340814,15778945_15,0.17958288221551086,0.057569623359097044,0.8784668989547039,12,0.18415824227195698,0.16666666666666666,0.08333333333333333
0.08384390706748167,0.7262439165184966,shadow_medium,0.6200155664560971,15778945_15,0.4492917103882476,0.03945772337551349,0.814756671899529,12,0.5004090457546894,0.25,0.16666666666666666
0.0,0.5252824720876298,noise_medium,0.42788916616470185,15778945_15,0.27217493636935874,nan,0.8113069016152716,12,0.2905685735990183,0.0,0.0
0.023694427348515193,0.5879802341909877,bc_medium,0.482775733013523,15778945_15,0.3181966855647623,0.05799657569569078,0.8258347481607244,12,0.34108572430316136,0.16666666666666666,0.08333333333333333
0.1946918030565856,0.8706601931754561,clean,0.7508664545288717,15928900_15,0.6011098310914962,0.029713914240434545,0.7272530967197346,12,0.7760646877683977,0.75,0.75
0.06737355509808132,0.7580484803301206,blur_medium,0.6225392980261144,15928900_15,0.4519470480239637,nan,0.8536905891801124,12,0.48989253618786266,0.0,0.0
0.19425097943194658,0.866388453212528,shadow_medium,0.7419056048411996,15928900_15,0.589705834233173,0.03418803418803418,0.729207550223553,12,0.7550537319060686,0.08333333333333333,0.08333333333333333
0.044379054887112246,0.7259898504708405,noise_medium,0.6001746021086563,15928900_15,0.42874961621123736,nan,0.8362527135264616,12,0.4680436558644238,0.0,0.0
