image_id,query_index,method,success,expanded_nodes,off_reference_r0,routeconform_0.05_r0,off_reference_r1,routeconform_0.05_r1,off_reference_r2,routeconform_0.05_r2,off_reference_r3,routeconform_0.05_r3
10828720_15,28,Soft-probability A*,1,27524,0.005662514156285381,1,0.0,1,0.0,1,0.0,1
10828720_15,28,Topology+Risk A*,1,42721,0.007927519818799578,1,0.0,1,0.0,1,0.0,1
10828720_15,29,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,29,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,30,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,30,Topology+Risk A*,1,78801,0.01487710219922378,1,0.002587322121604174,1,0.0,1,0.0,1
10828720_15,31,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,31,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,32,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,32,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,33,Soft-probability A*,1,42933,0.061340941512125546,0,0.005706134094151216,1,0.0,1,0.0,1
10828720_15,33,Topology+Risk A*,1,52446,0.01925820256776034,1,0.0014265335235378318,1,0.0,1,0.0,1
10828720_15,34,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,34,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,35,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,35,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,36,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,36,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,37,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,37,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,38,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,38,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,39,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,39,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,40,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,40,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,41,Soft-probability A*,1,13477,0.01675041876046901,1,0.005025125628140725,1,0.0,1,0.0,1
11128870_15,41,Topology+Risk A*,1,15347,0.008319467554076532,1,0.0,1,0.0,1,0.0,1
11128870_15,42,Soft-probability A*,1,2417,0.006369426751592355,1,0.0,1,0.0,1,0.0,1
11128870_15,42,Topology+Risk A*,1,3946,0.0,1,0.0,1,0.0,1,0.0,1
11128870_15,43,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,43,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,44,Soft-probability A*,1,58718,0.03350083752093802,1,0.012562814070351758,1,0.0008375209380234727,1,0.0,1
11128870_15,44,Topology+Risk A*,1,63395,0.004163197335553703,1,0.0,1,0.0,1,0.0,1
11128870_15,45,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,45,Topology+Risk A*,1,10680,0.007499999999999951,1,0.0,1,0.0,1,0.0,1
11128870_15,46,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,46,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,47,Soft-probability A*,1,71593,0.18085808580858087,0,0.15577557755775573,0,0.06006600660066008,0,0.014521452145214497,1
11128870_15,47,Topology+Risk A*,1,75135,0.15944881889763785,0,0.12401574803149606,0,0.04133858267716539,1,0.007874015748031482,1
11128870_15,48,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,48,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,49,Soft-probability A*,1,53650,0.3711824588880188,0,0.28269381362568524,0,0.23649177760375883,0,0.11511354737666402,0
11128870_15,49,Topology+Risk A*,1,68983,0.34498834498834496,0,0.2991452991452992,0,0.22688422688422694,0,0.12276612276612275,0
11128870_15,50,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,50,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,51,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,51,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,52,Soft-probability A*,1,26284,0.03488372093023251,1,0.010465116279069764,1,0.0011627906976744429,1,0.0,1
11128870_15,52,Topology+Risk A*,1,39504,0.0011534025374856371,1,0.0,1,0.0,1,0.0,1
11128870_15,53,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,53,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,54,Soft-probability A*,1,96029,0.15157785825142267,0,0.0796689084324883,0,0.04138644593895502,1,0.009311950336264863,1
11128870_15,54,Topology+Risk A*,1,114409,0.12918167781780754,0,0.08131755018013387,0,0.028821410190427166,1,0.0,1
11128870_15,55,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,55,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,56,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,56,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,57,Soft-probability A*,1,85949,0.15520282186948853,0,0.085243974132863,0,0.047031158142269214,1,0.010582010582010581,1
11128870_15,57,Topology+Risk A*,1,123041,0.1452841241944932,0,0.09197422378441711,0,0.03280609256004685,1,0.0,1
11128870_15,58,Soft-probability A*,1,97355,0.15026178010471203,0,0.07958115183246073,0,0.041884816753926746,1,0.009424083769633551,1
11128870_15,58,Topology+Risk A*,1,116042,0.12923397602918185,0,0.08181344450234496,0,0.029181865554976594,1,0.0,1
11128870_15,59,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11128870_15,59,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,60,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,60,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,61,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,61,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,62,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,62,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
