method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
URA-style A*,1,477.15432893255104,12062,116.479,1.0,0.0,nan,nan,nan,0.012302798743717201,7,100712
GT Oracle A*,1,471.35533905932755,10242,94.38439999999915,1.0,0.0,nan,nan,nan,0.0,7,100712
Topology+Risk A*,1,479.63961030678956,16003,149.93080000000168,1.0,0.0,nan,nan,nan,0.01757542677673862,7,100712
Binary-mask A*,1,1005.7178207935928,35495,340.3130000000001,0.726984126984127,0.27301587301587305,nan,nan,nan,0.007080649679932335,8,100712
Soft-probability A*,1,1008.8893936688465,48511,492.1623000000004,0.9957850368809273,0.004214963119072657,nan,nan,nan,0.010256520292623165,8,100712
Clearance-aware A*,1,1019.6173157302045,54381,571.4503000000004,1.0,0.0,nan,nan,nan,0.02099897955494678,8,100712
URA-style A*,1,1024.5878784786817,48608,476.5346000000008,0.9937238493723849,0.006276150627615107,nan,nan,nan,0.02597627781745674,8,100712
GT Oracle A*,1,998.6467529817272,33689,330.6710000000006,1.0,0.0,nan,nan,nan,0.0,8,100712
Topology+Risk A*,1,1021.0315292925776,53539,441.96140000000025,1.0,0.0,nan,nan,nan,0.022415109490933248,8,100712
Binary-mask A*,1,1094.908729652604,40735,359.49950000000007,0.6496945010183299,0.35030549898167007,nan,nan,nan,-0.0006264098391872116,9,100712
Soft-probability A*,1,1101.8376618407387,52415,511.7135000000008,0.9899091826437941,0.010090817356205872,nan,nan,nan,0.005697945469436587,9,100712
Clearance-aware A*,1,1115.0092347159925,52442,510.7822000000013,1.0,0.0,nan,nan,nan,0.01772024624749656,9,100712
URA-style A*,1,1112.180807591246,46380,416.43099999999936,1.0,0.0,nan,nan,nan,0.015138610633847808,9,100712
GT Oracle A*,1,1095.5950211536192,34069,305.74350000000015,1.0,0.0,nan,nan,nan,0.0,9,100712
Topology+Risk A*,1,1115.0092347159925,52156,400.0349000000014,1.0,0.0,nan,nan,nan,0.01772024624749656,9,100712
Binary-mask A*,1,806.8944443027286,22266,152.2471000000003,0.7693298969072165,0.23067010309278346,nan,nan,nan,0.00030079978254760135,10,100712
Soft-probability A*,1,809.7228714274751,29487,210.2263000000022,1.0,0.0,nan,nan,nan,0.0038071790059854495,10,100712
Clearance-aware A*,1,817.8650070512061,27272,179.6925999999992,1.0,0.0,nan,nan,nan,0.013900921544260371,10,100712
URA-style A*,1,816.5512985522213,24708,164.66700000000145,1.0,0.0,nan,nan,nan,0.012272327282031623,10,100712
GT Oracle A*,1,806.6518036156094,21934,143.81639999999862,1.0,0.0,nan,nan,nan,0.0,10,100712
Topology+Risk A*,1,818.450793488833,26875,188.98530000000235,1.0,0.0,nan,nan,nan,0.014627116458845891,10,100712
Binary-mask A*,1,815.9949493661173,35031,236.84990000000283,0.8591370558375635,0.1408629441624365,nan,nan,nan,0.0023332582515681235,11,100712
Soft-probability A*,1,820.480230740356,43407,297.06159999999926,1.0,0.0,nan,nan,nan,0.00784278585037015,11,100712
Clearance-aware A*,1,833.5929291125642,44910,308.22920000000306,1.0,0.0,nan,nan,nan,0.023949863098943203,11,100712
URA-style A*,1,829.7939392393408,36681,260.43409999999767,1.0,0.0,nan,nan,nan,0.019283346595807094,11,100712
GT Oracle A*,1,814.0954544295056,35213,231.07779999999778,1.0,0.0,nan,nan,nan,0.0,11,100712
Topology+Risk A*,1,834.1787155501911,43514,291.8918999999995,1.0,0.0,nan,nan,nan,0.02466941807795656,11,100712
Binary-mask A*,1,596.0660171779825,12189,87.72290000000282,0.6943462897526502,0.3056537102473498,nan,nan,nan,0.0023782212612057565,12,100712
Soft-probability A*,1,600.0660171779828,16777,122.87350000000075,1.0,0.0,nan,nan,nan,0.009104846785049081,12,100712
Clearance-aware A*,1,611.8650070512062,22548,151.54230000000268,1.0,0.0,nan,nan,nan,0.028946693394246464,12,100712
URA-style A*,1,616.2081528017138,19518,128.7686000000008,1.0,0.0,nan,nan,nan,0.03625037215903003,12,100712
GT Oracle A*,1,594.6518036156095,10665,66.77650000000313,1.0,0.0,nan,nan,nan,0.0,12,100712
Topology+Risk A*,1,613.03657992646,22210,168.394499999998,1.0,0.0,nan,nan,nan,0.03091687639567751,12,100712
Binary-mask A*,1,1339.1614716074882,56607,378.9163999999978,0.79423226812159,0.20576773187841002,nan,nan,nan,0.00450058010809834,13,100712
Soft-probability A*,1,1344.818325856981,68241,461.81740000000104,1.0,0.0,nan,nan,nan,0.0087437677263782,13,100712
Clearance-aware A*,1,1360.2741699796968,62324,424.8125999999992,1.0,0.0,nan,nan,nan,0.020337145161805955,13,100712
URA-style A*,1,1357.0609665441002,55901,382.9600000000006,1.0,0.0,nan,nan,nan,0.01792693191755265,13,100712
GT Oracle A*,1,1333.1614716074885,49398,337.9404000000008,1.0,0.0,nan,nan,nan,0.0,13,100712
Topology+Risk A*,1,1361.4457428549506,62083,426.22229999999917,1.0,0.0,nan,nan,nan,0.02121593809139845,13,100712
Binary-mask A*,1,1461.2741699796966,58597,456.4112000000016,0.7843839541547278,0.21561604584527216,nan,nan,nan,0.00412293444340025,14,100712
Soft-probability A*,1,1466.9310242291892,71172,557.5085999999985,1.0,0.0,nan,nan,nan,0.008010074314488304,14,100712
Clearance-aware A*,1,1482.3868683519052,64428,454.6449000000017,1.0,0.0,nan,nan,nan,0.018630646328716763,14,100712
URA-style A*,1,1479.1736649163086,58416,426.4107999999993,1.0,0.0,nan,nan,nan,0.016422675142337893,14,100712
GT Oracle A*,1,1455.2741699796966,51427,405.1511999999988,1.0,0.0,nan,nan,nan,0.0,14,100712
Topology+Risk A*,1,1483.558441227159,66470,459.7920000000002,1.0,0.0,nan,nan,nan,0.019435699355439647,14,100712
Binary-mask A*,1,1415.5462479183386,56742,374.21119999999775,0.8079763663220089,0.19202363367799113,nan,nan,nan,0.004256688993965955,15,100712
Soft-probability A*,1,1421.203102167831,67942,524.7296999999982,1.0,0.0,nan,nan,nan,0.008269933864679948,15,100712
Clearance-aware A*,1,1436.658946290547,60874,450.7899000000002,1.0,0.0,nan,nan,nan,0.01923505412628299,15,100712
URA-style A*,1,1433.4457428549504,54435,483.40960000000166,1.0,0.0,nan,nan,nan,0.01695545284300338,15,100712
GT Oracle A*,1,1409.5462479183386,49485,320.97789999999907,1.0,0.0,nan,nan,nan,0.0,15,100712
Topology+Risk A*,1,1437.8305191658008,63270,447.48560000000026,1.0,0.0,nan,nan,nan,0.020066224353569962,15,100712
Binary-mask A*,1,1334.322943214977,57765,446.38570000000044,0.6748566748566749,0.3251433251433251,nan,nan,nan,-0.001646816820060167,16,100712
Soft-probability A*,1,1342.3229432149772,67595,482.96330000000154,0.9918633034987795,0.008136696501220508,nan,nan,nan,0.004338859665570766,16,100712
Clearance-aware A*,1,1362.9503602129466,59623,408.26450000000136,1.0,0.0,nan,nan,nan,0.01977249027607654,16,100712
URA-style A*,1,1357.3940110268425,53984,364.9784999999994,1.0,0.0,nan,nan,nan,0.01561517669242437,16,100712
GT Oracle A*,1,1336.5239533417534,52002,370.4199999999993,1.0,0.0,nan,nan,nan,0.0,16,100712
Topology+Risk A*,1,1363.5361466505735,57973,388.676199999999,1.0,0.0,nan,nan,nan,0.02021078128923963,16,100712
Binary-mask A*,1,1515.8305191658008,54495,370.99459999999954,0.7662517289073306,0.23374827109266938,nan,nan,nan,0.003973955966471701,17,100712
Soft-probability A*,1,1521.4873734152934,71607,484.6781,1.0,0.0,nan,nan,nan,0.007720637582510389,17,100712
Clearance-aware A*,1,1536.9432175380093,73674,521.3893999999968,1.0,0.0,nan,nan,nan,0.017957444910564304,17,100712
URA-style A*,1,1533.7300141024125,63483,433.83910000000014,1.0,0.0,nan,nan,nan,0.015829256749834743,17,100712
GT Oracle A*,1,1509.8305191658008,46618,297.7977000000003,1.0,0.0,nan,nan,nan,0.0,17,100712
Topology+Risk A*,1,1538.114790413263,73112,503.87400000000326,1.0,0.0,nan,nan,nan,0.018733408080192835,17,100712
Binary-mask A*,1,1179.3818177180221,48837,322.44070000000136,0.8141263940520446,0.18587360594795543,nan,nan,nan,-0.0018627641456089381,18,100712
Soft-probability A*,1,1187.3818177180224,57692,386.8812999999989,0.9907749077490775,0.009225092250922495,nan,nan,nan,0.004907814955131878,18,100712
Clearance-aware A*,1,1206.3523804664997,54302,371.46609999999924,1.0,0.0,nan,nan,nan,0.020963026914397987,18,100712
URA-style A*,1,1200.7960312803955,45429,319.1001,1.0,0.0,nan,nan,nan,0.016260564204916225,18,100712
GT Oracle A*,1,1181.5828278447987,43442,281.28240000000204,1.0,0.0,nan,nan,nan,0.0,18,100712
Topology+Risk A*,1,1206.9381669041265,52604,360.19010000000407,1.0,0.0,nan,nan,nan,0.02145879109090973,18,100712
Binary-mask A*,1,1444.7888886054577,51983,332.8169999999986,0.7626628075253257,0.23733719247467433,nan,nan,nan,0.004170173989747207,19,100712
Soft-probability A*,1,1450.4457428549504,67963,469.5572999999982,1.0,0.0,nan,nan,nan,0.00810185173225156,19,100712
Clearance-aware A*,1,1465.9015869776665,69770,483.96510000000603,1.0,0.0,nan,nan,nan,0.01884411159060832,19,100712
URA-style A*,1,1462.68838354207,59976,413.40379999999755,1.0,0.0,nan,nan,nan,0.016610842025459684,19,100712
GT Oracle A*,1,1438.788888605458,44263,302.962799999996,1.0,0.0,nan,nan,nan,0.0,19,100712
Topology+Risk A*,1,1467.0731598529203,69148,462.7357000000032,1.0,0.0,nan,nan,nan,0.01965838871252113,19,100712
Binary-mask A*,1,120.7401153701775,4254,28.272100000002354,1.0,0.0,nan,nan,nan,0.0,20,103722
Soft-probability A*,1,120.74011537017758,5751,38.747900000004165,1.0,0.0,nan,nan,nan,5.884893629442418e-16,20,103722
Clearance-aware A*,1,120.74011537017755,5581,37.451199999999574,1.0,0.0,nan,nan,nan,3.530936177665451e-16,20,103722
URA-style A*,1,120.74011537017758,6938,46.36340000000416,1.0,0.0,nan,nan,nan,5.884893629442418e-16,20,103722
GT Oracle A*,1,120.7401153701775,4187,27.822299999996858,1.0,0.0,nan,nan,nan,0.0,20,103722
Topology+Risk A*,1,120.74011537017756,5880,39.86130000000543,1.0,0.0,nan,nan,nan,4.707914903553934e-16,20,103722
Binary-mask A*,1,285.9533188057741,10147,65.98019999999849,0.9283018867924528,0.07169811320754715,nan,nan,nan,0.0,21,103722
Soft-probability A*,1,285.95331880577436,12817,87.8861999999998,1.0,0.0,nan,nan,nan,9.939282939292855e-16,21,103722
Clearance-aware A*,1,285.9533188057743,12234,85.87589999999778,0.7169811320754716,0.28301886792452835,nan,nan,nan,7.951426351434284e-16,21,103722
URA-style A*,1,285.95331880577436,13431,96.1580999999967,1.0,0.0,nan,nan,nan,9.939282939292855e-16,21,103722
GT Oracle A*,1,285.9533188057741,9691,62.23519999999638,1.0,0.0,nan,nan,nan,0.0,21,103722
Topology+Risk A*,1,285.9533188057743,12355,94.85589999999888,0.8490566037735849,0.15094339622641506,nan,nan,nan,7.951426351434284e-16,21,103722
Binary-mask A*,1,206.26702730475924,4011,26.9375000000025,1.0,0.0,nan,nan,nan,2.7558170398617305e-16,22,103722
Soft-probability A*,1,209.58073580374418,6065,45.79419999999601,1.0,0.0,nan,nan,nan,0.016065139165888087,22,103722
Clearance-aware A*,1,215.37972567696755,7814,53.25570000000113,1.0,0.0,nan,nan,nan,0.04417913270619048,22,103722
URA-style A*,1,212.06601717798276,6649,45.680499999996016,1.0,0.0,nan,nan,nan,0.028113993540303358,22,103722
GT Oracle A*,1,206.26702730475918,4634,30.52590000000066,1.0,0.0,nan,nan,nan,0.0,22,103722
Topology+Risk A*,1,215.37972567696755,7805,52.35300000000365,1.0,0.0,nan,nan,nan,0.04417913270619048,22,103722
Binary-mask A*,1,339.3675323681475,11513,74.55799999999613,0.9779874213836478,0.022012578616352196,nan,nan,nan,0.007677929308438087,23,103722
Soft-probability A*,1,342.78174593052074,13941,92.41809999999617,1.0,0.0,nan,nan,nan,0.01781569242543786,23,103722
Clearance-aware A*,1,350.6812408671323,16994,123.22640000000007,0.8558282208588958,0.14417177914110424,nan,nan,nan,0.04127152110993334,23,103722
URA-style A*,1,349.61017305526696,16628,117.53490000000255,1.0,0.0,nan,nan,nan,0.03809121865943673,23,103722
GT Oracle A*,1,336.78174593052063,11288,72.76799999999639,1.0,0.0,nan,nan,nan,0.0,23,103722
Topology+Risk A*,1,351.2670273047593,17053,145.86669999999913,0.9327217125382263,0.06727828746177367,nan,nan,nan,0.04301088627655925,23,103722
Binary-mask A*,1,116.32590180780441,3805,30.803400000003478,1.0,0.0,nan,nan,nan,0.0,24,103722
Soft-probability A*,1,116.32590180780447,5236,41.26990000000319,1.0,0.0,nan,nan,nan,4.886565930494625e-16,24,103722
Clearance-aware A*,1,116.32590180780443,4859,41.58010000000445,1.0,0.0,nan,nan,nan,1.2216414826236562e-16,24,103722
URA-style A*,1,116.32590180780447,6677,53.051199999998744,1.0,0.0,nan,nan,nan,4.886565930494625e-16,24,103722
GT Oracle A*,1,116.32590180780441,3784,25.630599999999504,1.0,0.0,nan,nan,nan,0.0,24,103722
Topology+Risk A*,1,116.32590180780446,5185,40.78439999999972,1.0,0.0,nan,nan,nan,3.6649244478709686e-16,24,103722
Binary-mask A*,1,305.9116882454315,8526,84.63470000000228,0.934931506849315,0.06506849315068497,nan,nan,nan,0.0027154132340888692,25,103722
Soft-probability A*,1,308.39696961967036,12186,128.88889999999975,1.0,0.0,nan,nan,nan,0.01086165293635734,25,103722
Clearance-aware A*,1,312.5391052434013,13904,120.1166000000029,0.839041095890411,0.16095890410958902,nan,nan,nan,0.024438719106803175,25,103722
URA-style A*,1,311.4680374315359,13654,135.2091000000044,1.0,0.0,nan,nan,nan,0.02092797975017317,25,103722
GT Oracle A*,1,305.0832611206854,8113,70.85990000000209,1.0,0.0,nan,nan,nan,0.0,25,103722
Topology+Risk A*,1,312.5391052434013,13930,117.61839999999779,0.9246575342465754,0.07534246575342463,nan,nan,nan,0.024438719106803175,25,103722
