image_id,bridge_index,reference_supported,curve_nodes,euclidean_gap,mean_q,min_q,total_cost,confidence_cost,length_cost,direction_cost,width_cost,connectivity_gain,used_by_successful_paths,used_by_any_path
10828720_15,17,1,11,8.246211251235321,0.2702425040981986,0.24527916312217712,1.4533022985969586,1.3126862049102783,0.0824621125123532,1.0295585019653588,0.028595479208968284,-1.0,0,0
10828720_15,18,0,12,8.54400374531753,0.23353096594413122,0.18983346223831177,0.5717119248636762,1.4479401111602783,0.0854400374531753,0.03833177625022244,0.0,-1.0,0,0
10828720_15,19,1,12,8.54400374531753,0.17552210638920465,0.10915783047676086,1.0084742264111561,1.838294267654419,0.0854400374531753,0.031953516803519544,0.05278640450004206,-1.0,0,0
10828720_15,20,0,10,9.486832980505138,0.37537919282913207,0.26859167218208313,1.5392731592115054,1.0356707572937012,0.09486832980505139,1.4087340721127528,0.0,-1.0,0,0
10828720_15,21,1,11,9.486832980505138,0.22627376290884885,0.20782849192619324,0.7227776500167302,1.5433460474014282,0.09486832980505139,0.031776868310208484,0.05278640450004208,-1.0,0,0
10828720_15,22,1,14,9.848857801796104,0.4343365728855133,0.41133177280426025,0.015295455894113186,0.8446897268295288,0.09848857801796104,0.01933074654658129,0.05278640450004208,-1.0,0,0
10828720_15,23,0,15,10.0,0.2723829348882039,0.20785312354564667,1.9198150351549677,1.317071557044983,0.1,1.5027434781099847,0.0,-1.0,0,0
10828720_15,24,1,14,10.44030650891055,0.2689796899046217,0.24475497007369995,0.5935516756545893,1.3663032054901123,0.1044030650891055,0.015077675351739706,0.1077677297236319,-1.0,0,0
10828720_15,25,0,16,12.36931687685298,0.43014967627823353,0.14087288081645966,1.6484445188894403,1.040798544883728,0.12369316876852982,1.4839528052371822,0.0,-1.0,0,0
10828720_15,26,1,17,13.92838827718412,0.38627876253689036,0.34840503334999084,0.1868002605371295,1.0201185941696167,0.1392838827718412,0.027397783595671577,0.0,-1.0,0,0
10828720_15,27,0,16,15.033296378372908,0.2745819306001067,0.11580294370651245,0.8499153153754104,1.4014109373092651,0.1503329637837291,0.11439918029925417,0.18377223398316206,-1.0,0,0
10828720_15,28,1,18,15.132745950421556,0.20875804043478435,0.16266599297523499,0.8863738951397098,1.5862876176834106,0.15132745950421556,0.09597241345204155,0.05278640450004206,-1.0,0,0
10828720_15,29,1,18,15.264337522473747,0.41497834026813507,0.32230716943740845,0.1694295645506092,0.9110879898071289,0.15264337522473748,0.000982907039790315,0.10471529247895259,-1.0,0,0
10828720_15,30,0,16,15.297058540778355,0.20755929127335548,0.16157366335391998,0.88588285554834,1.5972312688827515,0.15297058540778355,0.008358997507769916,0.12732200375003502,-1.0,0,0
10828720_15,31,1,16,15.297058540778355,0.19615297950804234,0.10930681228637695,1.0695479729615904,1.736274003982544,0.15297058540778355,0.0755880910923104,0.10471529247895259,-1.0,0,0
10828720_15,32,0,18,15.524174696260024,0.22468042208088768,0.0514875203371048,1.8561725115797159,1.941025972366333,0.15524174696260024,0.5932381255841159,0.16666666666666666,-1.0,0,0
10828720_15,33,0,16,15.811388300841896,0.2535506393760443,0.05096491053700447,1.6382590795952194,1.7498213052749634,0.15811388300841897,0.605323891311837,0.125,-1.0,0,0
10828720_15,34,0,19,16.1245154965971,0.22510013141130147,0.12839171290397644,0.807672609569354,1.5679104328155518,0.16124515496597097,0.04275536723046097,0.03576165455737032,-1.0,0,0
10828720_15,35,0,22,19.1049731745428,0.20654553987763144,0.1801481544971466,0.9671145035758648,1.587916612625122,0.191049731745428,0.1881481592053147,0.0,-1.0,0,0
10828720_15,36,0,24,19.849433241279208,0.15697467350400984,0.01817970722913742,1.820578930531171,2.290048360824585,0.19849433241279207,0.1482640033106321,0.1837722339831621,-1.0,0,0
10828720_15,37,1,26,19.924858845171276,0.2655415420348828,0.10700572282075882,1.1812698763849423,1.5134385824203491,0.19924858845171275,0.39350099831227925,0.07508170720060124,-1.0,1,1
10828720_15,38,0,26,21.93171219946131,0.22574612555595544,0.16027992963790894,0.8221230558243506,1.4551866054534912,0.2193171219946131,0.0011727189695199813,0.1464466094067262,-1.0,0,0
10828720_15,39,0,26,23.08679276123039,0.259609369131235,0.12609699368476868,0.9072850485684556,1.4661468267440796,0.23086792761230396,0.04360362754540531,0.16666666666666666,-1.0,0,0
10828720_15,40,1,25,25.298221281347036,0.1833859360218048,0.15255583822727203,0.979679888111727,1.7228366136550903,0.2529822128134704,0.003861061643166186,0.0,-1.0,0,0
10828720_15,41,0,28,27.073972741361768,0.25476013656173435,0.21178394556045532,1.4351669159333649,1.3666635751724243,0.2707397274136177,0.4644302800139896,0.3333333333333333,-1.0,0,0
10828720_15,42,0,34,31.144823004794873,0.16747627736014478,0.09295284003019333,1.425978739967277,1.7318017482757568,0.31144823004794875,0.1600788597561862,0.22264990188738543,-1.0,0,0
10828720_15,43,1,35,34.92849839314596,0.23564522138663702,0.11999104917049408,1.2765380893012055,1.5119082927703857,0.34928498393145957,0.015344812599360047,0.4,-1.0,0,0
10828720_15,44,1,38,36.138621999185304,0.25441251636335727,0.10668773949146271,1.2029132714224184,1.4372459650039673,0.36138621999185294,0.004281086426598357,0.4,-1.0,0,0
10828720_15,45,0,45,44.10215414239989,0.16730981452597513,0.08342377841472626,1.4337753285713415,1.8998805284500122,0.4410215414239989,0.06427777948836189,0.028595479208968284,-1.0,0,0
