image_id,query_index,distance_class,variant,mask,score,boundary,success,off_road_ratio,path_length,expanded_nodes,planning_time_ms,safe_success_0.01,safe_success_0.05,safe_success_0.10
10378780_15,6,medium,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,6,medium,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,6,medium,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,6,medium,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,6,medium,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,6,medium,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,6,medium,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,6,medium,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,7,medium,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,7,medium,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,7,medium,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,7,medium,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,7,medium,repaired+p+boundary_off,repaired,p,0,1,0.008488964346349714,3416.20346110522,68830,1604.0778999999966,1,1,1
10378780_15,7,medium,repaired+p+boundary_on,repaired,p,1,1,0.00441426146010182,3422.002450978441,65445,1637.402999999999,1,1,1
10378780_15,7,medium,repaired+q+boundary_off,repaired,q,0,1,0.012224108658743682,3417.8603153547115,68035,1632.9036000000024,0,1,1
10378780_15,7,medium,repaired+q+boundary_on,repaired,q,1,1,0.005093378607809895,3422.002450978441,64104,1622.2984000000017,1,1,1
10378780_15,8,medium,original+p+boundary_off,original,p,0,1,0.023228803716608626,1046.8103166302699,13831,336.0528000000045,0,1,1
10378780_15,8,medium,original+p+boundary_on,original,p,1,1,0.0058004640371229765,1049.8813844421354,14453,371.33349999999865,1,1,1
10378780_15,8,medium,original+q+boundary_off,original,q,0,1,0.03596287703016243,1049.0529573173892,14118,336.52989999999505,0,1,1
10378780_15,8,medium,original+q+boundary_on,original,q,1,1,0.008111239860950192,1050.4671708797625,14562,372.90769999999895,1,1,1
10378780_15,8,medium,repaired+p+boundary_off,repaired,p,0,1,0.023228803716608626,1046.8103166302699,13831,324.51489999999694,0,1,1
10378780_15,8,medium,repaired+p+boundary_on,repaired,p,1,1,0.0058004640371229765,1049.8813844421354,14453,364.49369999999703,1,1,1
10378780_15,8,medium,repaired+q+boundary_off,repaired,q,0,1,0.03596287703016243,1049.0529573173892,14118,329.5427999999987,0,1,1
10378780_15,8,medium,repaired+q+boundary_on,repaired,q,1,1,0.008111239860950192,1050.4671708797625,14562,358.4533999999948,1,1,1
10378780_15,9,medium,original+p+boundary_off,original,p,0,1,0.014049586776859524,1441.373808491312,25669,599.0539000000012,0,1,1
10378780_15,9,medium,original+p+boundary_on,original,p,1,1,0.004132231404958664,1445.515944115043,27495,710.8745000000027,1,1,1
10378780_15,9,medium,original+q+boundary_off,original,q,0,1,0.023140495867768562,1443.0306627408045,26755,682.7139999999972,0,1,1
10378780_15,9,medium,original+q+boundary_on,original,q,1,1,0.005785123966942196,1445.515944115043,27348,706.1478999999977,1,1,1
10378780_15,9,medium,repaired+p+boundary_off,repaired,p,0,1,0.014049586776859524,1441.373808491312,25669,671.6413999999986,0,1,1
10378780_15,9,medium,repaired+p+boundary_on,repaired,p,1,1,0.004132231404958664,1445.515944115043,27495,716.6511,1,1,1
10378780_15,9,medium,repaired+q+boundary_off,repaired,q,0,1,0.023140495867768562,1443.0306627408045,26755,635.3567000000027,0,1,1
10378780_15,9,medium,repaired+q+boundary_on,repaired,q,1,1,0.005785123966942196,1445.515944115043,27348,713.7547999999967,1,1,1
10378780_15,10,medium,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,10,medium,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,10,medium,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,10,medium,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,10,medium,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,10,medium,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,10,medium,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,10,medium,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,11,medium,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,11,medium,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,11,medium,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,11,medium,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,11,medium,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,11,medium,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,11,medium,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,11,medium,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,12,medium,original+p+boundary_off,original,p,0,1,0.0,904.4427842621226,13616,324.5020000000025,1,1,1
10378780_15,12,medium,original+p+boundary_on,original,p,1,1,0.0,904.4427842621226,13034,332.5218000000021,1,1,1
10378780_15,12,medium,original+q+boundary_off,original,q,0,1,0.0,904.4427842621226,13186,325.00220000000013,1,1,1
10378780_15,12,medium,original+q+boundary_on,original,q,1,1,0.0,904.4427842621226,12906,327.793800000002,1,1,1
10378780_15,12,medium,repaired+p+boundary_off,repaired,p,0,1,0.0,904.4427842621226,13616,315.41959999999847,1,1,1
10378780_15,12,medium,repaired+p+boundary_on,repaired,p,1,1,0.0,904.4427842621226,13034,329.5598999999996,1,1,1
10378780_15,12,medium,repaired+q+boundary_off,repaired,q,0,1,0.0,904.4427842621226,13186,312.1391999999972,1,1,1
10378780_15,12,medium,repaired+q+boundary_on,repaired,q,1,1,0.0,904.4427842621226,12906,334.2750000000052,1,1,1
10378780_15,13,long,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,13,long,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,13,long,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
