method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,8,100712
GT Oracle A*,1,998.6467529817272,33689,314.1586000000007,1.0,0.0,nan,nan,nan,0.0,8,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,8,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,9,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,9,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,9,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,9,100712
GT Oracle A*,1,1095.5950211536192,34069,312.84799999999893,1.0,0.0,nan,nan,nan,0.0,9,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,9,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,10,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,10,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,10,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,10,100712
GT Oracle A*,1,806.6518036156094,21934,195.5007000000002,1.0,0.0,nan,nan,nan,0.0,10,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,10,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,11,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,11,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,11,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,11,100712
GT Oracle A*,1,814.0954544295056,35213,308.9052999999993,1.0,0.0,nan,nan,nan,0.0,11,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,11,100712
Binary-mask A*,1,592.0660171779825,11914,110.69919999999911,0.8078291814946619,0.19217081850533813,nan,nan,nan,-0.004348404262637186,12,100712
Soft-probability A*,1,596.6518036156097,17582,166.24839999999887,0.9929453262786596,0.007054673721340388,nan,nan,nan,0.0033633127619216623,12,100712
Clearance-aware A*,1,610.9360748630718,21783,204.9128000000007,1.0,0.0,nan,nan,nan,0.02738454865259032,12,100712
URA-style A*,1,607.4802307403559,19775,187.0566999999994,1.0,0.0,nan,nan,nan,0.021573006332019442,12,100712
GT Oracle A*,1,594.6518036156095,10665,92.79369999999965,1.0,0.0,nan,nan,nan,0.0,12,100712
Topology+Risk A*,1,612.1076477383256,21567,201.79919999999996,1.0,0.0,nan,nan,nan,0.029354731654021367,12,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,13,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,13,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,13,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,13,100712
GT Oracle A*,1,1333.1614716074885,49398,483.17310000000015,1.0,0.0,nan,nan,nan,0.0,13,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,13,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,14,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,14,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,14,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,14,100712
GT Oracle A*,1,1455.2741699796966,51427,469.4539999999989,1.0,0.0,nan,nan,nan,0.0,14,100712
