method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
Binary-mask A*,1,1436.060099992327,16872,107.25080000000098,0.6887417218543046,0.3112582781456954,nan,nan,nan,-0.0029456589696676564,9,10378780_15
Soft-probability A*,1,1439.1311678041927,24685,159.62490000000074,0.9768403639371381,0.023159636062861866,nan,nan,nan,-0.0008134212635746869,9,10378780_15
Clearance-aware A*,1,1444.10173055267,27805,180.34609999999952,0.9942100909842845,0.005789909015715522,nan,nan,nan,0.0026376328850360917,9,10378780_15
URA-style A*,1,1445.2733034279238,27988,181.4403999999996,0.9867877786952931,0.013212221304706895,nan,nan,nan,0.0034510541486109363,9,10378780_15
GT Oracle A*,1,1440.3027406794463,20693,138.22840000000093,1.0,0.0,nan,nan,nan,0.0,9,10378780_15
Topology+Risk A*,1,1445.515944115043,27348,180.8329999999998,0.9942148760330578,0.005785123966942196,nan,nan,nan,0.003619519208258644,9,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,10,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,10,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,10,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,10,10378780_15
GT Oracle A*,1,1570.7585848021624,24090,152.82520000000056,1.0,0.0,nan,nan,nan,0.0,10,10378780_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,10,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,11,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,11,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,11,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,11,10378780_15
GT Oracle A*,1,2266.2531008923843,29372,183.7175000000002,1.0,0.0,nan,nan,nan,0.0,11,10378780_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,11,10378780_15
Binary-mask A*,1,904.4427842621225,12703,82.77949999999912,0.7139001349527665,0.2860998650472335,nan,nan,nan,0.0,12,10378780_15
Soft-probability A*,1,904.4427842621226,14027,93.28929999999858,1.0,0.0,nan,nan,nan,1.2569820855430442e-16,12,10378780_15
Clearance-aware A*,1,904.4427842621226,13115,86.34189999999897,1.0,0.0,nan,nan,nan,1.2569820855430442e-16,12,10378780_15
URA-style A*,1,904.4427842621226,12450,80.0970000000003,1.0,0.0,nan,nan,nan,1.2569820855430442e-16,12,10378780_15
GT Oracle A*,1,904.4427842621225,13182,84.0039000000008,1.0,0.0,nan,nan,nan,0.0,12,10378780_15
Topology+Risk A*,1,904.4427842621226,12906,83.97240000000039,1.0,0.0,nan,nan,nan,1.2569820855430442e-16,12,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,13,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,13,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,13,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,13,10378780_15
GT Oracle A*,1,1733.457069611998,24123,150.85079999999886,1.0,0.0,nan,nan,nan,0.0,13,10378780_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,13,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,14,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,14,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,14,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,14,10378780_15
GT Oracle A*,1,2237.6896090313385,29142,180.7262999999999,1.0,0.0,nan,nan,nan,0.0,14,10378780_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,14,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,15,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,15,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,15,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,15,10378780_15
GT Oracle A*,1,2148.777920785916,26399,162.2287,1.0,0.0,nan,nan,nan,0.0,15,10378780_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,15,10378780_15
Binary-mask A*,1,2090.542422773734,27463,175.36909999999926,0.5383304940374787,0.4616695059625213,nan,nan,nan,-0.0020253346088451225,16,10378780_15
Soft-probability A*,1,2093.6134905856,37753,247.67789999999934,0.9841089670828603,0.01589103291713967,nan,nan,nan,-0.0005592807088844185,16,10378780_15
